project_id,label,budget_amount,actual_cost,start_date,end_date,actual_end_date,progress_pct,cpi,spi,vac_pct,burn_rate_ratio,overdue_pct,blocker_density,days_elapsed_pct,scope_creep_proxy,finance_gaps,invoice_lag_days,timesheet_volatility,avg_team_rate,people_active_7d
0,1,5341.026576037481,317996.3519039642,2022-09-21 16:41:59.240697,2023-09-21 16:41:59.240697,2023-10-19 16:41:59.240697,34.073288293723564,0.1,0.2708151153215062,-18244.636845450303,851.2024011620499,18.633331576570345,0.0,100.0,0.8515775109247505,0.0,18.76164320631938,7.827803210561371,74.96465968569494,6
1,1,205803.83028185993,2098533.5097520403,2023-02-11 16:41:59.245780,2024-08-04 16:41:59.245780,2024-08-18 16:41:59.245780,96.84518942501043,0.1,0.9816691675942811,-997.4898442745138,4009.7713832063228,37.8157015151978,0.0,100.0,0.8039488281243279,0.0,6.094116954869072,13.131316714045845,292.40576906397513,6
2,1,6490.87564260128,107985.95399572933,2022-10-08 16:41:59.252171,2022-12-07 16:41:59.252171,2022-12-12 16:41:59.252171,66.83585657249363,0.1,0.5657707163998765,-2514.653935890253,1653.4076212927698,0.0,0.12234782099233914,100.0,0.7601196596876103,7.186913530918604,0.0,8.273052385346345,104.86361405084374,6
3,1,44683.10040683835,421375.83481537725,2025-05-11 16:41:59.254263,2026-02-05 16:41:59.254263,2026-02-08 16:41:59.254263,45.960896972725315,0.1,0.7124467028725259,-1906.2752329033328,2139.1254880687397,20.128432114121868,0.02511605353732519,60.9398475227822,0.8330867500218321,0.0,30.276179097492253,8.793530121363323,129.29494491655947,76
4,1,480670.4717178519,889443.0708002822,2025-04-02 16:41:59.257799,2025-09-29 16:41:59.257799,2025-10-08 16:41:59.257799,27.525587936776805,0.15498850104268097,0.2655976022150164,-567.7907028172287,4674.727158647625,35.655403791096454,0.020862939711242225,97.02533093633407,0.8014426424152931,0.0,47.51429032177618,13.575151534341492,300.10136625309826,5
5,1,14672.030236564819,213660.74032102522,2022-06-29 16:41:59.261346,2022-10-27 16:41:59.261346,2022-11-02 16:41:59.261346,61.31814726333521,0.1,0.5833865055514814,-2302.759551371323,1668.9308391506868,30.921758108597608,0.04553598122048581,100.0,0.8433060874598457,0.0,12.566928798865487,7.666646759863,161.10136250144052,7
6,1,1346898.2895092617,3137717.666216856,2021-11-30 16:41:59.263916,2023-11-30 16:41:59.263916,2023-12-10 16:41:59.263916,60.903933961049304,0.23788022516833499,0.5825832988410073,-273.17001372971566,3876.6835730492,46.133011302426205,0.07741138222412136,100.0,0.760638918130966,0.0,39.18080591748234,13.642502752724194,288.18241224685516,4
7,1,1000.0,82102.2289911568,2025-03-26 16:41:59.270136,2025-05-25 16:41:59.270136,2025-05-17 16:41:59.270136,52.86379621096761,0.1,0.5544487980317865,-15491.859535304868,1588.8937666128543,21.956037775474115,0.0,78.21197987939429,0.6367715417864938,0.0,43.02711842198459,8.312758017720517,101.72768572045582,5
8,1,63375.30852959489,160265.10286222005,2022-10-24 16:41:59.271813,2023-01-22 16:41:59.271813,2023-02-11 16:41:59.271813,24.86285912188581,0.1,0.16518018560936343,-1083.4250513644015,1381.7598857251057,31.987496078189384,0.07611286855397913,100.0,0.9280639566125521,0.0,19.458393305004293,7.0487858847171285,147.93525862811714,5
9,1,812528.3449757388,1729019.6068669744,2022-04-21 16:41:59.274434,2023-04-21 16:41:59.274434,2023-04-21 16:41:59.274434,72.75839814685392,0.34307703352761976,0.8086946636094822,-180.93242875895498,4692.485699756673,32.9235860777142,0.0,100.0,0.8541124016931785,0.0,29.18648465868173,13.043861440219624,288.51756841125217,6
10,1,45225.26019633644,578197.7088547335,2022-06-14 16:41:59.278794,2023-06-14 16:41:59.278794,2023-06-24 16:41:59.278794,73.14081398897851,0.1,0.7339904687727885,-1719.2785267085476,1542.2943752365657,44.129963682842174,0.01904193969713041,100.0,0.8010861748091603,790.664106710412,51.96052963173417,6.848056532523635,122.31126141965022,7
11,1,19694.99656373119,136307.05039668837,2024-06-13 16:41:59.282289,2024-09-11 16:41:59.282289,2024-09-11 16:41:59.282289,100.0,0.14957831668061825,0.9537585432492077,-620.3795270652188,1500.5719659166898,25.023891320337594,0.0,100.0,0.609645083047515,1120.4441868578779,25.882924053592745,10.756197710984772,207.27405747780833,6
12,1,325078.0060908673,1032258.3999192661,2023-09-26 16:41:59.284382,2024-06-22 16:41:59.284382,2024-06-17 16:41:59.284382,32.05288459949772,0.11220089571365871,0.3614319909939846,-843.9928779288554,3912.6483000624175,45.91505527021009,0.0,100.0,0.791998324033583,5067.6494989858365,34.868990980380424,14.228033758153819,287.01677453959627,6
13,1,3560.299728620923,137287.72086064113,2022-01-30 16:41:59.287898,2022-03-31 16:41:59.287898,2022-04-14 16:41:59.287898,29.269853637130353,0.1,0.24745001342773282,-12068.945238481865,1862.2440737903175,25.845000584504398,0.0,100.0,0.49273092149601644,0.0,32.40024783744131,8.51082066346265,90.7624263625008,6
14,1,374095.08743028686,872814.3468897049,2024-12-04 16:41:59.289706,2025-06-02 16:41:59.289706,2025-06-20 16:41:59.289706,58.018789571777646,0.2456593190365552,0.5245385001609205,-305.26653126346366,4363.669167403451,41.19504726043883,0.0,100.0,0.8377412127759544,0.0,43.627974264404926,18.563970278812175,262.1569495058568,6
15,1,4752.641846100254,18767099.06503082,2025-01-27 16:41:59.293299,2029-01-26 16:41:59.293299,2028-11-27 16:41:59.293299,26.05823623058258,0.1,1.3907689549964657,-1563153.0948042953,67475.24495616088,15.839979018106854,0.05710430100157966,19.55618658452442,0.715593620537069,0.0,13.01564484844582,33.17785565620233,95.48712938674004,897
16,1,59908.074328116214,638357.8897519625,2024-01-18 16:41:59.320035,2025-01-17 16:41:59.320035,2025-01-12 16:41:59.320035,87.48099479296778,0.1,0.9501851076348309,-1008.3730432836751,1856.5857893318796,29.837297648399165,0.04210011202829363,100.0,0.821507789434215,0.0,9.857389047978794,6.10952999334011,189.15652383635478,6
17,1,537601.45074526,1773423.8253610998,2024-10-29 16:41:59.323604,2025-10-29 16:41:59.323604,2025-11-26 16:41:59.323604,25.449050851164344,0.1,0.27172185340153776,-1314.6685125271595,4800.20925576563,30.122755441641903,0.025704725961019134,100.0,0.7523255327664005,3029.730352320114,42.91140980166947,13.74527877313156,276.8837293084224,19
18,1,225652.302613535,549470.6006285752,2022-01-15 16:41:59.328342,2023-01-15 16:41:59.328342,2023-01-07 16:41:59.328342,97.66967154410617,0.43885479770228014,0.9583232928610524,-138.38664316003974,1381.5153383198538,37.00584549845289,0.021283769961202684,96.34041539116309,0.8541634255354699,0.0,45.12315022104215,5.343515966553322,136.57262064732782,5
19,1,11830.602304421449,103688.2473440613,2024-02-27 16:41:59.331805,2024-04-27 16:41:59.331805,2024-05-03 16:41:59.331805,68.02396634270671,0.1,0.5807461748054422,-1255.1318291906186,1391.988407858194,38.7089607045785,0.0,100.0,0.7457316453686766,0.0,39.52810535429013,9.551818389115718,151.6816191803717,6
20,1,44734.988616780865,823570.4108500181,2021-10-20 16:41:59.334060,2022-04-18 16:41:59.334060,2022-04-13 16:41:59.334060,30.781935155611205,0.1,0.30842805524465733,-6736.491328541718,4553.281005547731,38.908514702377715,0.059722275659158844,96.08208821881783,0.81993415722239,0.0,38.486593128926955,10.684755171243152,251.53159103350282,6
21,1,2635.8795177715706,92734.89480147882,2024-12-26 16:41:59.337465,2025-02-09 16:41:59.337465,2025-02-19 16:41:59.337465,84.12849646646008,0.1,0.6879985915728267,-4466.7743410967105,1751.297672204818,26.291149017552552,0.0,100.0,0.553221203407239,809.3292388167971,27.31535207875679,11.207159414852487,100.15733455704998,6
22,1,142706.43189609397,868569.9470064632,2022-06-25 16:41:59.339420,2022-12-22 16:41:59.339420,2023-01-08 16:41:59.339420,74.80169100335546,0.12129199880204353,0.6947790650455018,-746.3845278917973,4210.856911118684,48.234906700638525,0.06676452308496361,100.0,0.7563307999781951,0.0,29.441893577160283,10.402029742440948,279.10279634185076,4
23,1,247349.14614476424,223547.51506187164,2024-02-26 16:41:59.342681,2024-06-25 16:41:59.342681,2024-07-21 16:41:59.342681,69.77307732064573,0.8670683656373461,0.5510061494758641,-32.20498667194757,1563.9340491849962,45.130837659708476,0.08760053387959316,100.0,0.7312800926711769,0.0,26.906884969630994,8.594911060626538,197.49014562507176,5
24,1,15384.760272762602,117470.05224883383,2022-05-29 16:41:59.345048,2022-07-13 16:41:59.345048,2022-08-09 16:41:59.345048,74.73435527672854,0.1,0.458316075728504,-960.5796464170883,1640.9204898824996,9.955012473547594,0.096337682336557,100.0,0.8430619540247034,0.0,44.88669134714056,9.800154529957497,72.12960469083954,6
